comm_type,index,total_size,count
0.0,1,2.0,256
0.0,2,24.0,768
0.0,3,2048.0,64
0.0,4,40008.0,768
1.0,1,8.0,256
1.0,2,32.0,64
3.0,1,8.0,1152
3.0,2,16.0,1152
54.0,1,0.0,14976
54.0,2,1728.0,2880
54.0,3,2016.0,1920
54.0,4,2352.0,320
54.0,5,3456.0,2880
54.0,6,3744.0,960
54.0,7,4032.0,960
54.0,8,4368.0,320
54.0,9,5184.0,1440
54.0,10,6048.0,2400
54.0,11,6912.0,2880
54.0,12,7056.0,1120
54.0,13,7488.0,1920
54.0,14,8112.0,320
54.0,15,8232.0,160
54.0,16,10368.0,1440
54.0,17,11232.0,480
54.0,18,12096.0,1920
54.0,19,13104.0,640
54.0,20,14112.0,480
54.0,21,15288.0,160
54.0,22,20736.0,1440
54.0,23,22464.0,960
54.0,24,24192.0,1440
54.0,25,24336.0,160
54.0,26,26208.0,960
54.0,27,28392.0,160
55.0,1,0.0,14976
55.0,2,1728.0,2880
55.0,3,2016.0,1920
55.0,4,2352.0,320
55.0,5,3456.0,2880
55.0,6,3744.0,960
55.0,7,4032.0,960
55.0,8,4368.0,320
55.0,9,5184.0,1440
55.0,10,6048.0,2400
55.0,11,6912.0,2880
55.0,12,7056.0,1120
55.0,13,7488.0,1920
55.0,14,8112.0,320
55.0,15,8232.0,160
55.0,16,10368.0,1440
55.0,17,11232.0,480
55.0,18,12096.0,1920
55.0,19,13104.0,640
55.0,20,14112.0,480
55.0,21,15288.0,160
55.0,22,20736.0,1440
55.0,23,22464.0,960
55.0,24,24192.0,1440
55.0,25,24336.0,160
55.0,26,26208.0,960
55.0,27,28392.0,160
56.0,1,0.0,45696
100.0,1,0.0,91392
