comm_type,index,total_size,count
0,1,2,64
0,2,24,192
0,3,2048,16
0,4,40008,192
1,1,8,64
1,2,32,16
3,1,8,288
3,2,16,288
54,1,0,3744
54,2,6912,800
54,3,7488,1280
54,4,8112,480
54,5,10368,480
54,6,10944,480
54,7,11232,160
54,8,11856,160
54,9,20736,400
54,10,22464,640
54,11,24192,400
54,12,24336,240
54,13,26208,640
54,14,28392,240
54,15,31104,240
54,16,32832,240
54,17,33696,80
54,18,35568,80
54,19,36288,240
54,20,38304,240
54,21,39312,80
54,22,41496,80
55,1,0,3744
55,2,6912,800
55,3,7488,1280
55,4,8112,480
55,5,10368,480
55,6,10944,480
55,7,11232,160
55,8,11856,160
55,9,20736,400
55,10,22464,640
55,11,24192,400
55,12,24336,240
55,13,26208,640
55,14,28392,240
55,15,31104,240
55,16,32832,240
55,17,33696,80
55,18,35568,80
55,19,36288,240
55,20,38304,240
55,21,39312,80
55,22,41496,80
56,1,0,11424
100,1,0,22848
