Training Log for All Configurations
==================================================

Configuration: code1_dynamic1_ir1_cfg1
Epoch 1: Loss = 0.0442
Epoch 2: Loss = 0.0113
Epoch 3: Loss = 0.0130
Epoch 4: Loss = 0.0124
Epoch 5: Loss = 0.0083
Epoch 6: Loss = 0.0062
Epoch 7: Loss = 0.0060
Epoch 8: Loss = 0.0080
Epoch 9: Loss = 0.0153
Epoch 10: Loss = 0.0122
Epoch 11: Loss = 0.0088
Epoch 12: Loss = 0.0155
Epoch 13: Loss = 0.0111
Epoch 14: Loss = 0.0035
Epoch 15: Loss = 0.0128
Epoch 16: Loss = 0.0042
Epoch 17: Loss = 0.0106
Epoch 18: Loss = 0.0007
Epoch 19: Loss = 0.0038
Epoch 20: Loss = 0.0082
Epoch 21: Loss = 0.0038
Epoch 22: Loss = 0.0150
Epoch 23: Loss = 0.0249
Epoch 24: Loss = 0.0116
Epoch 25: Loss = 0.0003
Epoch 26: Loss = 0.0160
Epoch 27: Loss = 0.0040
Epoch 28: Loss = 0.0055
Epoch 29: Loss = 0.0075
Epoch 30: Loss = 0.0094
Epoch 31: Loss = 0.0013
Epoch 32: Loss = 0.0070
Epoch 33: Loss = 0.0059
Epoch 34: Loss = 0.0074
Epoch 35: Loss = 0.0053
Epoch 36: Loss = 0.0120
Epoch 37: Loss = 0.0026
Epoch 38: Loss = 0.0097
Epoch 39: Loss = 0.0045
Epoch 40: Loss = 0.0088
Epoch 41: Loss = 0.0059
Epoch 42: Loss = 0.0133
Epoch 43: Loss = 0.0033
Epoch 44: Loss = 0.0139
Epoch 45: Loss = 0.0030
Epoch 46: Loss = 0.0117
Epoch 47: Loss = 0.0028
Epoch 48: Loss = 0.0098
Epoch 49: Loss = 0.0188
Epoch 50: Loss = 0.0021
Epoch 51: Loss = 0.0064
Epoch 52: Loss = 0.0059
Epoch 53: Loss = 0.0030
Epoch 54: Loss = 0.0031
Epoch 55: Loss = 0.0078
Epoch 56: Loss = 0.0003
Epoch 57: Loss = 0.0016
Epoch 58: Loss = 0.0045
Epoch 59: Loss = 0.0033
Epoch 60: Loss = 0.0030
Epoch 61: Loss = 0.0036
Epoch 62: Loss = 0.0117
Epoch 63: Loss = 0.0077
Epoch 64: Loss = 0.0062
Epoch 65: Loss = 0.0023
Epoch 66: Loss = 0.0153
Epoch 67: Loss = 0.0068
Epoch 68: Loss = 0.0155
Epoch 69: Loss = 0.0083
Epoch 70: Loss = 0.0058
Epoch 71: Loss = 0.0063
Epoch 72: Loss = 0.0021
Epoch 73: Loss = 0.0050
Epoch 74: Loss = 0.0049
Epoch 75: Loss = 0.0006
Epoch 76: Loss = 0.0033
Epoch 77: Loss = 0.0106
Epoch 78: Loss = 0.0019
Epoch 79: Loss = 0.0129
Epoch 80: Loss = 0.0084
Epoch 81: Loss = 0.0141
Epoch 82: Loss = 0.0139
Epoch 83: Loss = 0.0115
Epoch 84: Loss = 0.0135
Epoch 85: Loss = 0.0201
Epoch 86: Loss = 0.0022
Epoch 87: Loss = 0.0031
Epoch 88: Loss = 0.0023
Epoch 89: Loss = 0.0074
Epoch 90: Loss = 0.0047
Epoch 91: Loss = 0.0014
Epoch 92: Loss = 0.0082
